,entry,category,run,subrun,event,dedx_cut
25,25,0,4001,40,39,1
28,28,0,4006,27,60,1
33,33,0,1409,30,13,1
34,34,0,3002,84,31,1
66,66,0,3008,100,53,1
70,70,0,1600,2,36,1
73,73,0,4002,15,56,1
80,80,0,1609,32,3,1
88,88,0,1607,37,75,1
113,113,0,2204,47,70,1
114,114,0,2105,76,22,1
121,121,0,2003,15,77,1
130,130,0,2104,28,7,1
132,132,0,4000,74,19,1
140,140,0,2102,20,70,1
148,148,0,2103,24,60,1
163,163,0,5001,80,21,1
178,178,0,2109,12,51,1
191,191,0,1602,43,38,1
193,193,0,2002,93,40,1
207,207,0,2202,46,2,1
212,212,0,2405,87,27,1
244,244,0,1601,6,41,1
253,253,0,2103,98,32,1
259,259,0,3008,89,28,1
286,286,0,1201,26,1,1
288,288,0,3000,47,7,1
