entry,category,Run,Subrun,Evt
0,0.0,3005,100,17
1,3.0,1201,99,58
2,1.0,1400,21,52
3,0.0,1605,20,11
4,4.0,4003,78,18
5,0.0,1607,30,10
6,0.0,6001,93,24
7,1.0,6002,25,43
8,3.0,1202,54,68
9,0.0,1608,35,74
10,3.0,1600,93,60
11,0.0,1603,37,73
12,0.0,1601,23,21
13,0.0,7000,67,30
14,4.0,7000,67,48
15,4.0,4007,61,13
16,0.0,3001,88,24
17,3.0,6002,96,48
18,4.0,3002,5,56
19,3.0,3005,96,4
20,3.0,3008,17,11
21,4.0,3007,88,2
22,0.0,4001,33,29
23,0.0,4001,33,58
24,0.0,2204,25,66
25,4.0,3001,40,73
26,0.0,3007,60,26
27,0.0,1407,15,9
28,3.0,3007,31,72
29,0.0,1605,75,2
30,0.0,1603,75,26
31,0.0,1601,18,49
32,0.0,3003,69,17
33,0.0,3002,83,26
34,4.0,4005,25,2
35,0.0,4000,69,37
36,0.0,3002,7,14
37,0.0,1606,94,72
38,0.0,1200,89,17
39,0.0,4000,75,58
40,4.0,1608,84,53
41,0.0,1202,19,45
42,1.0,1607,15,78
43,3.0,1601,4,74
44,4.0,1609,6,13
45,0.0,3006,47,48
46,1.0,1601,98,14
47,3.0,2107,35,62
48,0.0,3007,66,12
49,4.0,3005,23,30
50,0.0,1603,45,41
51,3.0,4007,52,7
52,4.0,1606,26,48
53,4.0,4003,66,79
54,0.0,2202,100,18
55,3.0,1409,18,30
56,1.0,3006,52,34
57,3.0,3007,70,34
58,0.0,3007,70,61
59,3.0,1609,37,10
60,3.0,2105,45,56
61,4.0,3006,42,37
62,1.0,1202,59,76
63,3.0,3005,10,64
64,4.0,3006,71,73
65,3.0,3000,2,55
66,0.0,4007,25,19
67,0.0,3006,90,45
68,0.0,1608,70,2
69,4.0,1604,87,42
70,1.0,4002,62,80
71,0.0,6000,2,59
72,3.0,1606,65,7
73,0.0,1602,82,61
74,0.0,1604,34,14
75,4.0,1604,34,62
76,0.0,4003,99,49
77,0.0,1607,31,68
78,0.0,4006,89,64
79,0.0,1606,90,66
80,0.0,2103,10,5
81,0.0,3008,82,34
82,4.0,1202,1,47
83,4.0,1607,24,47
84,0.0,1606,20,11
85,0.0,1606,93,17
86,0.0,3004,20,15
87,0.0,1601,30,9
88,0.0,4007,48,60
89,3.0,1606,30,51
90,4.0,1606,95,21
91,3.0,1603,72,39
92,0.0,1607,45,33
93,0.0,1603,53,6
94,0.0,2106,99,49
95,3.0,4004,10,7
96,0.0,1200,91,60
97,0.0,6001,78,59
98,0.0,1606,66,24
99,4.0,3002,24,5
100,0.0,3005,53,77
101,4.0,4002,26,25
102,0.0,1602,41,48
103,4.0,1606,76,22
104,4.0,1600,37,17
105,0.0,3006,98,36
106,4.0,1606,31,4
107,4.0,4004,87,58
108,0.0,1604,14,57
109,3.0,1606,60,6
110,4.0,4008,71,56
