entry,Run,Subrun,Evt
0,3005,100,17
1,1201,99,58
2,1400,21,52
3,1605,20,11
4,4003,78,18
5,1607,30,10
6,6001,93,24
7,6002,25,43
8,1202,54,68
9,1608,35,74
10,1600,93,60
11,1603,37,73
12,1601,23,21
13,7000,67,30
14,7000,67,48
15,4007,61,13
16,3001,88,24
17,6002,96,48
18,3002,5,56
19,3005,96,4
20,3008,17,11
21,3007,88,2
22,4001,33,29
23,4001,33,58
24,2204,25,66
25,3001,40,73
26,3007,60,26
27,1407,15,9
28,3007,31,72
29,1605,75,2
30,1603,75,26
31,1601,18,49
32,3003,69,17
33,3002,83,26
34,4005,25,2
35,4000,69,37
36,3002,7,14
37,1606,94,72
38,1200,89,17
39,4000,75,58
40,1608,84,53
41,1202,19,45
42,1607,15,78
43,1601,4,74
44,1609,6,13
45,3006,47,48
46,1601,98,14
47,2107,35,62
48,3007,66,12
49,3005,23,30
50,1603,45,41
51,4007,52,7
52,1606,26,48
53,4003,66,79
54,2202,100,18
55,1409,18,30
56,3006,52,34
57,3007,70,34
58,3007,70,61
59,1609,37,10
60,2105,45,56
61,3006,42,37
62,1202,59,76
63,3005,10,64
64,3006,71,73
65,3000,2,55
66,4007,25,19
67,3006,90,45
68,1608,70,2
69,1604,87,42
70,4002,62,80
71,6000,2,59
72,1606,65,7
73,1602,82,61
74,1604,34,14
75,1604,34,62
76,4003,99,49
77,1607,31,68
78,4006,89,64
79,1606,90,66
80,2103,10,5
81,3008,82,34
82,1202,1,47
83,1607,24,47
84,1606,20,11
85,1606,93,17
86,3004,20,15
87,1601,30,9
88,4007,48,60
89,1606,30,51
90,1606,95,21
91,1603,72,39
92,1607,45,33
93,1603,53,6
94,2106,99,49
95,4004,10,7
96,1200,91,60
97,6001,78,59
98,1606,66,24
99,3002,24,5
100,3005,53,77
101,4002,26,25
102,1602,41,48
103,1606,76,22
104,1600,37,17
105,3006,98,36
106,1606,31,4
107,4004,87,58
108,1604,14,57
109,1606,60,6
110,4008,71,56
111,1609,40,75
112,3006,65,39
113,1601,96,45
114,1604,73,15
115,3002,49,59
116,1606,48,1
117,1608,18,19
118,4007,29,16
119,1600,68,58
120,1606,79,23
121,3003,58,42
122,3003,63,59
123,6002,68,51
124,1602,1,18
125,3007,57,53
126,1608,9,24
127,3001,100,68
128,3008,18,12
129,3004,69,48
130,3008,75,71
131,6001,74,50
132,1609,22,5
133,4002,93,27
134,1608,59,60
135,1605,100,32
136,2201,79,4
137,3006,49,70
138,1608,76,36
139,4001,31,4
140,4001,72,16
141,1608,60,10
142,4009,45,72
143,3004,41,2
144,1603,42,38
145,2106,19,37
146,2207,90,35
147,1605,96,67
148,1409,7,71
149,1606,19,53
150,3000,79,52
151,4008,29,14
152,4007,43,23
153,1600,10,20
154,4004,99,28
155,2100,100,65
156,4004,68,67
157,2109,34,6
158,2209,30,27
159,6000,88,1
160,3009,9,44
161,3003,50,38
162,4001,43,26
163,4006,22,77
164,2206,64,1
165,4008,88,12
166,3004,3,65
167,4001,66,62
168,4000,54,64
169,4003,29,1
170,4006,91,57
171,4000,49,61
172,2204,15,60
173,4007,20,59
174,4009,44,22
175,1804,28,7
176,4008,52,4
177,4000,82,43
178,2102,30,40
179,2108,68,9
180,2207,8,43
181,2203,24,30
182,3002,82,29
183,3005,19,47
184,4005,52,2
185,2105,29,14
186,2204,47,70
187,2107,62,54
188,2107,62,56
189,5001,2,3
190,4002,34,59
191,2207,63,32
192,4006,14,1
193,2200,14,59
194,2105,20,1
195,2103,60,23
196,4001,46,31
197,2109,41,51
198,2206,54,67
199,1700,97,60
200,2206,2,62
201,4006,28,80
202,4008,40,43
203,2207,71,78
204,1708,76,51
205,4003,1,16
206,5000,33,35
207,2105,53,8
208,2205,90,12
209,4006,16,18
210,4004,59,80
211,4001,84,26
212,2106,59,21
213,7000,8,47
214,4008,16,59
215,4008,16,75
216,4003,21,71
217,2101,34,53
